City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
81,bredasdorp,0,ZA,1571175331,87,-34.53,20.04,51.998000000000026,0.81
82,melfort,90,CA,1571175511,65,52.87,-104.61,39.2,1.0
83,saint-pierre,23,FR,1571175512,93,48.95,4.24,53.6,4.6
84,kinsale,75,IE,1571175512,93,51.71,-8.52,51.998000000000026,7.7
85,guilin,90,CN,1571175512,82,25.28,110.29,66.2,1.0
86,pisco,15,PE,1571175513,30,-13.71,-76.2,71.6,4.6
87,tilichiki,100,RU,1571175513,72,60.47,166.1,24.872000000000035,7.825
88,san jose,75,HN,1571175513,61,14.25,-87.96,80.6,6.2
89,carnarvon,76,ZA,1571175513,13,-30.97,22.13,62.45600000000003,5.281
90,christchurch,89,NZ,1571175513,93,-43.53,172.64,57.00200000000008,3.1
91,cockburn town,40,TC,1571175513,66,21.46,-71.14,86.0,1.5
92,barra,98,BR,1571175514,56,-11.09,-43.14,84.41600000000001,5.177
93,hindoria,34,IN,1571175514,68,23.9,79.57,71.36600000000001,0.886
94,palmer,75,AU,1571175514,93,-34.85,139.16,55.99400000000007,2.1
95,east london,0,ZA,1571175514,74,-33.02,27.91,64.61600000000001,5.715
96,komsomolskiy,97,RU,1571175515,81,67.55,63.78,26.672000000000036,8.768
97,zhigansk,99,RU,1571175515,90,66.77,123.37,21.70400000000005,8.016
98,klaksvik,97,FO,1571175515,87,62.23,-6.59,50.0,11.3
99,cojocna,0,RO,1571175515,87,46.75,23.83,50.0,1.0
100,nanortalik,0,GL,1571175515,66,60.14,-45.24,37.148000000000025,0.678
101,luganville,90,VU,1571175516,88,-15.51,167.18,77.0,4.1
102,laguna,75,BZ,1571175516,74,16.17,-88.94,86.0,2.1
103,colac,100,AU,1571175516,96,-38.34,143.59,55.004000000000055,1.165
104,bilma,0,NE,1571175516,18,18.69,12.92,89.76200000000006,3.273
105,aragarcas,40,BR,1571175517,44,-15.9,-52.25,93.2,1.0
106,linhares,0,BR,1571175517,80,-19.38,-40.06,74.76800000000009,2.774
107,ilulissat,75,GL,1571175517,38,69.22,-51.1,23.0,4.6
108,bambous virieux,40,MU,1571175517,83,-20.34,57.76,69.80000000000001,5.875
109,shahrud,0,IR,1571175517,54,36.42,54.97,44.438000000000045,0.705
110,tiksi,100,RU,1571175518,88,71.64,128.87,14.68399999999999,2.513
111,ambilobe,99,MG,1571175518,83,-13.19,49.05,74.94800000000004,3.344
112,puerto escondido,90,MX,1571175518,70,15.86,-97.07,86.0,1.5
113,yakima,1,US,1571175518,41,46.6,-120.51,60.8,1.588
114,sumbawanga,20,TZ,1571175518,49,-7.95,31.62,69.80000000000001,6.2
115,whitianga,22,NZ,1571175519,79,-36.83,175.7,60.998000000000026,6.26
116,yulara,0,AU,1571175335,49,-25.24,130.99,68.0,8.7
117,ribeira grande,75,PT,1571175519,94,38.52,-28.7,69.80000000000001,7.7
118,palauig,16,PH,1571175519,79,15.44,119.9,72.42800000000007,2.056
119,chokurdakh,95,RU,1571175519,96,70.62,147.9,11.390000000000018,2.584
120,hualmay,1,PE,1571175520,62,-11.1,-77.61,68.30600000000004,4.098
121,hovd,62,NO,1571175520,72,63.83,10.7,42.008,5.1
122,torbay,75,CA,1571175520,81,47.66,-52.73,46.99400000000007,4.6
123,taltal,0,CL,1571175520,55,-25.41,-70.49,62.94199999999999,2.037
124,vila franca do campo,75,PT,1571175520,88,37.72,-25.43,69.80000000000001,8.2
125,gravdal,100,NO,1571175521,71,59.79,5.78,53.99600000000005,7.2
126,arraial do cabo,40,BR,1571175521,83,-22.97,-42.02,77.0,4.1
127,goderich,100,CA,1571175521,72,43.74,-81.71,57.992,3.58
128,seydi,96,NE,1571175521,28,13.34,7.75,89.40200000000007,3.872
129,rocha,100,UY,1571175521,84,-34.48,-54.34,53.042,4.572
130,vaini,100,IN,1571175522,86,15.34,74.49,71.72600000000008,3.098
131,morehead,1,US,1571175522,53,38.18,-83.43,73.4,5.1
132,guerrero negro,0,MX,1571175522,45,27.97,-114.04,78.22400000000002,5.539
133,newport,40,GB,1571175522,87,51.59,-3.0,55.99400000000007,3.6
134,kamien pomorski,33,PL,1571175523,100,53.97,14.77,60.00800000000001,0.5
135,sao filipe,17,CV,1571175523,87,14.9,-24.5,76.73000000000005,5.698
136,keti bandar,0,PK,1571175523,65,24.14,67.45,83.12000000000006,2.322
137,flagstaff,1,US,1571175523,11,35.2,-111.65,80.6,2.1
138,ucluelet,90,CA,1571175523,93,48.94,-125.55,51.00800000000001,4.6
139,avarua,40,CK,1571175524,65,-21.21,-159.78,77.0,5.1
140,port macquarie,3,AU,1571175524,93,-31.43,152.91,69.99800000000002,1.0
141,upernavik,100,GL,1571175524,95,72.79,-56.15,26.420000000000062,6.328
142,castro,90,CL,1571175524,81,-42.48,-73.76,51.8,2.6
143,ibra,0,OM,1571175525,42,22.69,58.55,80.02400000000002,2.0
144,meulaboh,100,ID,1571175525,82,4.14,96.13,79.61000000000008,2.208
145,kimbe,83,PG,1571175525,91,-5.56,150.15,75.59600000000006,1.345
146,norman wells,75,CA,1571175525,74,65.28,-126.83,28.4,8.2
147,nouakchott,20,MR,1571175525,78,18.08,-15.98,82.4,3.6
148,new norfolk,20,AU,1571175526,87,-42.78,147.06,44.00600000000003,4.1
149,tuatapere,100,NZ,1571175526,81,-46.13,167.69,53.00600000000003,0.45
150,lebu,40,ET,1571175526,54,8.96,38.73,59.0,5.1
151,nome,1,US,1571175526,52,30.04,-94.42,91.00400000000005,5.7
152,anadyr,75,RU,1571175526,96,64.73,177.51,37.4,12.0
153,keetmanshoop,0,NA,1571175527,19,-26.57,18.15,80.6,3.1
154,kidodi,22,TZ,1571175527,78,-7.6,37.0,72.01400000000004,0.692
155,boralday,90,KZ,1571175527,81,43.36,76.86,42.8,2.0
156,north bend,1,US,1571175527,67,43.41,-124.22,66.00200000000008,2.6
157,lucea,40,JM,1571175527,70,18.44,-78.17,87.99800000000002,2.1
158,lossiemouth,75,GB,1571175528,93,57.72,-3.28,50.0,4.1
159,jamestown,96,AU,1571175528,93,-33.21,138.6,48.84800000000003,3.705
160,lasa,20,CY,1571175528,57,34.92,32.53,78.80000000000001,4.1
161,riyadh,0,SA,1571175528,39,24.63,46.72,80.6,2.6
162,severo-kurilsk,76,RU,1571175528,79,50.68,156.12,34.86200000000006,13.535
163,massakory,99,TD,1571175529,57,13.0,15.73,85.19000000000003,3.341
164,liptovsky mikulas,0,SK,1571175529,71,49.08,19.62,55.400000000000006,2.1
165,faanui,8,PF,1571175529,79,-16.48,-151.75,79.808,4.837
166,kosh-agach,100,RU,1571175529,67,49.99,88.66,29.87600000000009,1.894
167,kodiak,1,US,1571175529,38,39.95,-94.76,62.6,6.7
168,ahuimanu,40,US,1571175530,45,21.44,-157.84,87.80000000000001,5.7
169,anaconda,1,US,1571175530,24,46.13,-112.94,57.2,1.5
170,omboue,100,GA,1571175530,92,-1.57,9.26,74.96600000000001,0.971
171,nemuro,0,JP,1571175530,65,43.32,145.57,50.03600000000007,3.197
172,bethel,90,US,1571175530,92,60.79,-161.76,30.2,3.6
